date,close,action
2022-01-03,280000,1
2022-01-04,286500,0
2022-01-05,295500,0
2022-01-06,304500,0
2022-01-07,305000,0
2022-01-10,304000,0
2022-01-11,300000,0
2022-01-12,305500,0
2022-01-13,306500,0
2022-01-14,299000,0
2022-01-18,286000,2
2022-01-19,284500,2
2022-01-20,286000,2
2022-01-21,282000,2
2022-01-24,274500,2
2022-01-25,266500,2
2022-01-26,269500,2
2022-01-27,257500,2
2022-01-28,265000,2
2022-02-03,268000,2
2022-02-04,268500,0
2022-02-07,268500,0
2022-02-08,267000,0
2022-02-09,282000,0
2022-02-10,280000,0
2022-02-11,290000,0
2022-02-14,284000,0
2022-02-15,280500,0
2022-02-16,280500,2
2022-02-17,283000,0
2022-02-18,281500,2
2022-02-22,278500,0
2022-02-23,276500,2
2022-02-24,278000,0
2022-02-25,275500,0
2022-02-28,285000,2
2022-03-02,283500,0
2022-03-03,290500,0
2022-03-04,291500,0
2022-03-07,285500,0
2022-03-08,276500,2
2022-03-10,283500,2
2022-03-11,282000,0
2022-03-14,287000,0
2022-03-15,282000,0
2022-03-16,283000,0
2022-03-17,283500,0
2022-03-18,287000,0
2022-03-21,287000,0
2022-03-22,293000,0
2022-03-23,306500,0
2022-03-24,304000,0
2022-03-25,299500,0
2022-03-28,299500,2
2022-03-29,299000,2
2022-03-30,290000,2
2022-03-31,293000,2
2022-04-01,288000,2
2022-04-04,294000,0
2022-04-05,289500,0
2022-04-06,285000,0
2022-04-07,280500,2
2022-04-08,283000,2
2022-04-11,286000,0
2022-04-12,282000,0
2022-04-13,285500,0
2022-04-14,286000,0
2022-04-18,283000,0
2022-04-19,288500,0
2022-04-20,289500,0
2022-04-21,299000,0
2022-04-22,295500,0
2022-04-25,286000,0
2022-04-26,284000,2
2022-04-27,278000,2
2022-04-28,290000,0
2022-04-29,289000,0
2022-05-02,293000,0
2022-05-03,289000,0
2022-05-04,291500,0
2022-05-06,286000,2
2022-05-09,281000,2
2022-05-10,276000,2
2022-05-11,274500,2
2022-05-12,273000,0
2022-05-13,280500,0
2022-05-16,281000,0
2022-05-17,287500,0
2022-05-18,288000,0
2022-05-19,285000,0
2022-05-20,291500,0
2022-05-23,292500,0
2022-05-24,289000,0
2022-05-25,290500,0
2022-05-26,294000,0
2022-05-27,294000,0
2022-05-31,289000,2
2022-06-02,288000,2
2022-06-03,290000,2
2022-06-07,287000,2
2022-06-08,285500,0
2022-06-09,286000,0
2022-06-10,279000,2
2022-06-13,268000,2
2022-06-14,263500,2
2022-06-15,261500,2
2022-06-16,267500,2
2022-06-17,262500,2
2022-06-21,250500,0
2022-06-22,242500,2
2022-06-23,234000,0
2022-06-24,238000,2
2022-06-27,238000,2
2022-06-28,243000,0
2022-06-29,234000,0
2022-06-30,230500,0
2022-07-01,232500,0
2022-07-05,238500,0
2022-07-06,230000,2
2022-07-07,230000,0
2022-07-08,231000,0
2022-07-11,230000,0
2022-07-12,223000,2
2022-07-13,226500,2
2022-07-14,223000,0
2022-07-15,224000,0
2022-07-18,226500,0
2022-07-19,230000,0
2022-07-20,232000,0
2022-07-21,235000,0
2022-07-22,234000,0
2022-07-25,234500,0
2022-07-26,235500,0
2022-07-27,236500,0
2022-07-28,238500,0
2022-07-29,242000,0
2022-08-01,240000,0
2022-08-02,236000,0
2022-08-03,235500,0
2022-08-04,233000,0
2022-08-05,239500,0
2022-08-08,240000,0
2022-08-09,246000,0
2022-08-10,248500,0
2022-08-11,257000,0
2022-08-12,259500,0
2022-08-16,258000,0
2022-08-17,258000,0
2022-08-18,256000,0
2022-08-19,255000,0
2022-08-22,249000,0
2022-08-23,248000,0
2022-08-24,245500,0
2022-08-25,250500,0
2022-08-26,249000,0
2022-08-29,244000,2
2022-08-30,254000,2
2022-08-31,255000,0
2022-09-01,253000,0
2022-09-02,246000,0
2022-09-06,252500,0
2022-09-07,246000,0
2022-09-08,241500,0
2022-09-13,248000,0
