date,close,action
2022-01-03,78600,1
2022-01-04,78700,1
2022-01-05,77400,1
2022-01-06,76900,1
2022-01-07,78300,1
2022-01-10,78000,1
2022-01-11,78900,1
2022-01-12,78900,1
2022-01-13,77900,1
2022-01-14,77300,1
2022-01-17,77500,1
2022-01-18,77000,1
2022-01-19,76300,1
2022-01-20,76500,1
2022-01-21,75600,1
2022-01-24,75100,1
2022-01-25,74000,1
2022-01-26,73300,1
2022-01-27,71300,0
2022-01-28,73300,2
2022-02-03,73300,1
2022-02-04,74000,1
2022-02-07,73000,1
2022-02-08,73500,2
2022-02-09,74700,1
2022-02-10,75400,2
2022-02-11,74900,2
2022-02-14,73700,1
2022-02-15,73700,1
2022-02-16,74800,1
2022-02-17,75000,2
2022-02-18,74300,1
2022-02-21,74200,1
2022-02-22,73400,1
2022-02-23,73000,2
2022-02-24,71500,2
2022-02-25,71900,1
2022-02-28,72100,1
2022-03-02,71700,1
2022-03-03,72900,2
2022-03-04,71500,2
2022-03-07,70100,2
2022-03-08,69500,2
2022-03-10,71200,2
2022-03-11,70000,2
2022-03-14,70200,2
2022-03-15,69500,1
2022-03-16,70400,2
2022-03-17,71200,2
2022-03-18,70700,2
2022-03-21,69900,2
2022-03-22,70300,2
2022-03-23,70500,2
2022-03-24,69800,2
2022-03-25,69800,1
2022-03-28,69700,1
2022-03-29,70200,1
2022-03-30,69900,2
2022-03-31,69600,2
2022-04-01,69100,1
2022-04-04,69300,1
2022-04-05,69200,2
2022-04-06,68500,2
2022-04-07,68000,2
2022-04-08,67800,1
2022-04-11,67900,2
2022-04-12,67000,2
2022-04-13,68700,2
2022-04-14,67500,2
2022-04-15,66600,2
2022-04-18,66700,2
2022-04-19,67300,2
2022-04-20,67400,2
2022-04-21,67700,2
2022-04-22,67000,2
2022-04-25,66300,2
2022-04-26,66100,2
2022-04-27,65000,2
2022-04-28,64800,2
2022-04-29,67400,2
2022-05-02,67300,2
2022-05-03,67500,2
2022-05-04,67900,2
2022-05-06,66500,2
2022-05-09,66100,2
2022-05-10,65700,2
2022-05-11,65700,2
2022-05-12,64900,1
2022-05-13,66500,1
2022-05-16,66300,1
2022-05-17,67600,2
2022-05-18,68100,2
2022-05-19,67500,2
2022-05-20,68000,2
