Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2020/10/16,31100,950,3.15,59778,0.52,600,1.93
2020/10/19,31900,800,2.57,59778,0.53,600,1.88
2020/10/20,31600,-300,-0.94,59778,0.53,600,1.9
2020/10/21,31650,50,0.16,59778,0.53,600,1.9
2020/10/22,31900,250,0.79,59778,0.53,600,1.88
2020/10/23,31650,-250,-0.78,59778,0.53,600,1.9
2020/10/26,31350,-300,-0.95,59778,0.52,600,1.91
2020/10/27,30700,-650,-2.07,59778,0.51,600,1.95
2020/10/28,30900,200,0.65,59778,0.52,600,1.94
2020/10/29,30300,-600,-1.94,59778,0.51,600,1.98
2020/10/30,30650,350,1.16,59778,0.51,600,1.96
2020/11/02,30750,100,0.33,59778,0.51,600,1.95
2020/11/03,31150,400,1.3,59778,0.52,600,1.93
2020/11/04,31550,400,1.28,59778,0.53,600,1.9
2020/11/05,31300,-250,-0.79,59778,0.52,600,1.92
2020/11/06,31050,-250,-0.8,59778,0.52,600,1.93
2020/11/09,31750,700,2.25,59778,0.53,600,1.89
2020/11/10,32950,1200,3.78,59778,0.55,600,1.82
2020/11/11,33350,400,1.21,59778,0.56,600,1.8
2020/11/12,32600,-750,-2.25,59778,0.55,600,1.84
2020/11/13,32500,-100,-0.31,59778,0.54,600,1.85
2020/11/16,33100,600,1.85,59778,0.55,600,1.81
2020/11/17,34200,1100,3.32,59778,0.57,600,1.75
2020/11/18,34050,-150,-0.44,59778,0.57,600,1.76
2020/11/19,33550,-500,-1.47,59778,0.56,600,1.79
2020/11/20,33600,50,0.15,59778,0.56,600,1.79
2020/11/23,33950,350,1.04,59778,0.57,600,1.77
2020/11/24,34600,650,1.91,59778,0.58,600,1.73
2020/11/25,34650,50,0.14,59778,0.58,600,1.73
2020/11/26,34300,-350,-1.01,59778,0.57,600,1.75
2020/11/27,35100,800,2.33,59778,0.59,600,1.71
2020/11/30,33600,-1500,-4.27,59778,0.56,600,1.79
2020/12/01,34550,950,2.83,59778,0.58,600,1.74
2020/12/02,34650,100,0.29,59778,0.58,600,1.73
2020/12/03,34950,300,0.87,59778,0.58,600,1.72
2020/12/04,36600,1650,4.72,59778,0.61,600,1.64
2020/12/07,37600,1000,2.73,59778,0.63,600,1.6
2020/12/08,36500,-1100,-2.93,59778,0.61,600,1.64
2020/12/09,36800,300,0.82,59778,0.62,600,1.63
2020/12/10,38350,1550,4.21,59778,0.64,600,1.56
2020/12/11,38900,550,1.43,59778,0.65,600,1.54
2020/12/14,38050,-850,-2.19,59778,0.64,600,1.58
2020/12/15,37350,-700,-1.84,59778,0.62,600,1.61
2020/12/16,37500,150,0.4,59778,0.63,600,1.6
2020/12/17,36950,-550,-1.47,59778,0.62,600,1.62
2020/12/18,37600,650,1.76,59778,0.63,600,1.6
2020/12/21,37250,-350,-0.93,59778,0.62,600,1.61
2020/12/22,36550,-700,-1.88,59778,0.61,600,1.64
2020/12/23,36300,-250,-0.68,59778,0.61,600,1.65
2020/12/24,36650,350,0.96,59778,0.61,600,1.64
2020/12/28,36200,-450,-1.23,59778,0.61,600,1.66
2020/12/29,36250,50,0.14,59778,0.61,600,1.66
2020/12/30,37450,1200,3.31,59778,0.63,600,1.6
2021/01/04,38250,800,2.14,59778,0.64,600,1.57
2021/01/05,40100,1850,4.84,59778,0.67,600,1.5
2021/01/06,39850,-250,-0.62,59778,0.67,600,1.51
2021/01/07,40550,700,1.76,59778,0.68,600,1.48
2021/01/08,41000,450,1.11,59778,0.69,600,1.46
2021/01/11,44100,3100,7.56,59778,0.74,600,1.36
2021/01/12,45600,1500,3.4,59778,0.76,600,1.32
2021/01/13,44450,-1150,-2.52,59778,0.74,600,1.35
2021/01/14,44750,300,0.67,59778,0.75,600,1.34
2021/01/15,42800,-1950,-4.36,59778,0.72,600,1.4
2021/01/18,43050,250,0.58,59778,0.72,600,1.39
2021/01/19,45150,2100,4.88,59778,0.76,600,1.33
2021/01/20,45150,0,0.0,59778,0.76,600,1.33
2021/01/21,44800,-350,-0.78,59778,0.75,600,1.34
2021/01/22,44400,-400,-0.89,59778,0.74,600,1.35
2021/01/25,45000,600,1.35,59778,0.75,600,1.33
2021/01/26,44000,-1000,-2.22,59778,0.74,600,1.36
2021/01/27,43250,-750,-1.7,59778,0.72,600,1.39
2021/01/28,42200,-1050,-2.43,59778,0.71,600,1.42
2021/01/29,40250,-1950,-4.62,59778,0.67,600,1.49
2021/02/01,43500,3250,8.07,59778,0.73,600,1.38
2021/02/02,43250,-250,-0.57,59778,0.72,600,1.39
2021/02/03,44850,1600,3.7,59778,0.75,600,1.34
2021/02/04,43150,-1700,-3.79,59778,0.72,600,1.39
2021/02/05,42450,-700,-1.62,59778,0.71,600,1.41
2021/02/08,42650,200,0.47,59778,0.71,600,1.41
2021/02/09,42900,250,0.59,59778,0.72,600,1.4
2021/02/10,42750,-150,-0.35,59778,0.72,600,1.4
2021/02/15,43050,300,0.7,59778,0.72,600,1.39
2021/02/16,43000,-50,-0.12,59778,0.72,600,1.4
2021/02/17,42300,-700,-1.63,59778,0.71,600,1.42
2021/02/18,41250,-1050,-2.48,59778,0.69,600,1.45
2021/02/19,42000,750,1.82,59778,0.7,600,1.43
2021/02/22,41400,-600,-1.43,59778,0.69,600,1.45
2021/02/23,41850,450,1.09,59778,0.7,600,1.43
2021/02/24,40450,-1400,-3.35,59778,0.68,600,1.48
2021/02/25,41550,1100,2.72,59778,0.7,600,1.44
2021/02/26,39800,-1750,-4.21,59778,0.67,600,1.51
2021/03/02,40000,200,0.5,59778,0.67,600,1.5
2021/03/03,40250,250,0.63,59778,0.67,600,1.49
2021/03/04,39900,-350,-0.87,59778,0.67,600,1.5
2021/03/05,39050,-850,-2.13,59778,0.65,600,1.54
2021/03/08,39350,300,0.77,59778,0.66,600,1.52
2021/03/09,40200,850,2.16,59778,0.67,600,1.49
2021/03/10,39350,-850,-2.11,59778,0.66,600,1.52
2021/03/11,39800,450,1.14,59778,0.67,600,1.51
2021/03/12,41800,2000,5.03,59778,0.7,600,1.44
2021/03/15,42750,950,2.27,59778,0.72,600,1.4
2021/03/16,42800,50,0.12,59778,0.72,600,1.4
2021/03/17,42700,-100,-0.23,59778,0.71,600,1.41
2021/03/18,42500,-200,-0.47,59778,0.71,600,1.41
2021/03/19,42200,-300,-0.71,59778,0.71,600,1.42
2021/03/22,42950,750,1.78,59778,0.72,600,1.4
2021/03/23,43300,350,0.81,59778,0.72,600,1.39
2021/03/24,43000,-300,-0.69,59778,0.72,600,1.4
2021/03/25,43650,650,1.51,59778,0.73,600,1.37
2021/03/26,44050,400,0.92,59778,0.74,600,1.36
2021/03/29,44100,50,0.11,59778,0.74,600,1.36
2021/03/30,43800,-300,-0.68,59778,0.73,600,1.37
2021/03/31,44050,250,0.57,59778,0.74,600,1.36
2021/04/01,43550,-500,-1.14,59778,0.73,600,1.38
2021/04/02,43550,0,0.0,59778,0.73,600,1.38
2021/04/05,44900,1350,3.1,59778,0.75,600,1.34
2021/04/06,44800,-100,-0.22,59778,0.75,600,1.34
2021/04/07,45000,200,0.45,59778,0.75,600,1.33
2021/04/08,46400,1400,3.11,59778,0.78,600,1.29
2021/04/09,46450,50,0.11,59778,0.78,600,1.29
2021/04/12,45750,-700,-1.51,59778,0.77,600,1.31
2021/04/13,45400,-350,-0.77,59778,0.76,600,1.32
2021/04/14,46150,750,1.65,59778,0.77,600,1.3
2021/04/15,46400,250,0.54,59778,0.78,600,1.29
2021/04/16,47150,750,1.62,59778,0.79,600,1.27
2021/04/19,47850,700,1.48,59778,0.8,600,1.25
2021/04/20,49450,1600,3.34,59778,0.83,600,1.21
2021/04/21,49500,50,0.1,59778,0.83,600,1.21
2021/04/22,49000,-500,-1.01,59778,0.82,600,1.22
2021/04/23,49800,800,1.63,59778,0.83,600,1.2
2021/04/26,51400,1600,3.21,59778,0.86,600,1.17
2021/04/27,52000,600,1.17,59778,0.87,600,1.15
2021/04/28,52700,700,1.35,59778,0.88,600,1.14
2021/04/29,54300,1600,3.04,59778,0.91,600,1.1
