Date,Close,대비,등락률,BPS,PBR,주당배당금,배당수익률
2015/08/19,33000,-2050,-5.85,24775,1.33,300,0.91
2015/08/20,33050,50,0.15,24775,1.33,300,0.91
2015/08/21,32000,-1050,-3.18,24775,1.29,300,0.94
2015/08/24,31050,-950,-2.97,24775,1.25,300,0.97
2015/08/25,33500,2450,7.89,24775,1.35,300,0.9
2015/08/26,33450,-50,-0.15,24775,1.35,300,0.9
2015/08/27,35500,2050,6.13,24775,1.43,300,0.85
2015/08/28,36900,1400,3.94,24775,1.49,300,0.81
2015/08/31,35800,-1100,-2.98,24775,1.45,300,0.84
2015/09/01,34400,-1400,-3.91,24775,1.39,300,0.87
2015/09/02,34350,-50,-0.15,24775,1.39,300,0.87
2015/09/03,35400,1050,3.06,24775,1.43,300,0.85
2015/09/04,34850,-550,-1.55,24775,1.41,300,0.86
2015/09/07,34750,-100,-0.29,24775,1.4,300,0.86
2015/09/08,34750,0,0.0,24775,1.4,300,0.86
2015/09/09,36000,1250,3.6,24775,1.45,300,0.83
2015/09/10,35950,-50,-0.14,24775,1.45,300,0.83
2015/09/11,35000,-950,-2.64,24775,1.41,300,0.86
2015/09/14,34600,-400,-1.14,24775,1.4,300,0.87
2015/09/15,33600,-1000,-2.89,24775,1.36,300,0.89
2015/09/16,35100,1500,4.46,24775,1.42,300,0.85
2015/09/17,36150,1050,2.99,24775,1.46,300,0.83
2015/09/18,35750,-400,-1.11,24775,1.44,300,0.84
2015/09/21,34800,-950,-2.66,24775,1.4,300,0.86
2015/09/22,34900,100,0.29,24775,1.41,300,0.86
2015/09/23,34700,-200,-0.57,24775,1.4,300,0.86
2015/09/24,33850,-850,-2.45,24775,1.37,300,0.89
2015/09/25,34350,500,1.48,24775,1.39,300,0.87
2015/09/30,33550,-800,-2.33,24775,1.35,300,0.89
2015/10/01,33700,150,0.45,24775,1.36,300,0.89
2015/10/02,34550,850,2.52,24775,1.39,300,0.87
2015/10/05,35350,800,2.32,24775,1.43,300,0.85
